tag,count
2009-01-01 00:21~00:30,1
2009-01-01 00:51~00:59,1
2009-01-01 01:00~01:10,2
2009-01-01 01:41~01:50,1
2009-01-01 01:51~01:59,1
2009-01-01 02:00~02:10,2
2009-01-01 02:11~02:20,1
2009-01-01 02:41~02:50,1
2009-01-01 02:51~02:59,1
2009-01-01 03:41~03:50,1
2009-01-01 04:00~04:10,1
2009-01-01 04:51~04:59,1
2009-01-01 05:21~05:30,1
2009-01-01 05:31~05:40,1
2009-01-01 07:51~07:59,1
2009-01-01 09:21~09:30,2
2009-01-01 09:31~09:40,1
2009-01-01 09:41~09:50,4
2009-01-01 09:51~09:59,3
2009-01-01 10:00~10:10,11
2009-01-01 10:11~10:20,9
2009-01-01 10:21~10:30,6
2009-01-01 10:31~10:40,14
2009-01-01 10:41~10:50,9
2009-01-01 10:51~10:59,13
2009-01-01 11:00~11:10,13
2009-01-01 11:11~11:20,10
2009-01-01 11:21~11:30,11
2009-01-01 11:31~11:40,12
2009-01-01 11:41~11:50,14
2009-01-01 11:51~11:59,15
2009-01-01 12:00~12:10,18
2009-01-01 12:11~12:20,12
2009-01-01 12:21~12:30,20
2009-01-01 12:31~12:40,12
2009-01-01 12:41~12:50,18
2009-01-01 12:51~12:59,13
2009-01-01 13:00~13:10,18
2009-01-01 13:11~13:20,17
2009-01-01 13:21~13:30,17
2009-01-01 13:31~13:40,12
2009-01-01 13:41~13:50,15
2009-01-01 13:51~13:59,11
2009-01-01 14:00~14:10,12
2009-01-01 14:11~14:20,14
2009-01-01 14:21~14:30,8
2009-01-01 14:31~14:40,10
2009-01-01 14:41~14:50,9
2009-01-01 14:51~14:59,8
2009-01-01 15:00~15:10,14
2009-01-01 15:11~15:20,17
2009-01-01 15:21~15:30,12
2009-01-01 15:31~15:40,5
2009-01-01 15:41~15:50,15
2009-01-01 15:51~15:59,13
2009-01-01 16:00~16:10,16
2009-01-01 16:11~16:20,9
2009-01-01 16:21~16:30,6
2009-01-01 16:31~16:40,10
2009-01-01 16:41~16:50,4
2009-01-01 16:51~16:59,4
2009-01-01 17:00~17:10,4
2009-01-01 17:11~17:20,3
2009-01-01 17:21~17:30,1
2009-01-01 17:31~17:40,1
2009-01-01 17:41~17:50,2
2009-01-01 17:51~17:59,2
2009-01-01 18:00~18:10,2
2009-01-01 18:21~18:30,1
2009-01-01 18:51~18:59,2
2009-01-01 19:00~19:10,3
2009-01-01 19:11~19:20,3
2009-01-01 19:21~19:30,1
2009-01-01 19:41~19:50,2
2009-01-01 19:51~19:59,1
2009-01-01 20:11~20:20,1
2009-01-01 20:21~20:30,1
2009-01-01 20:31~20:40,1
2009-01-01 20:41~20:50,1
2009-01-01 20:51~20:59,1
2009-01-01 21:00~21:10,1
2009-01-01 21:21~21:30,2
2009-01-01 21:31~21:40,1
2009-01-01 21:51~21:59,1
2009-01-01 22:31~22:40,2
2009-01-01 22:41~22:50,1
2009-01-01 22:51~22:59,1
2009-01-01 23:00~23:10,1
2009-01-01 23:11~23:20,1
2009-01-01 23:21~23:30,1
2009-01-02 00:11~00:20,1
2009-01-02 00:31~00:40,1
2009-01-02 06:11~06:20,1
2009-01-02 07:51~07:59,1
2009-01-02 08:31~08:40,3
2009-01-02 08:41~08:50,1
2009-01-02 08:51~08:59,1
2009-01-02 09:00~09:10,1
2009-01-02 09:11~09:20,5
2009-01-02 09:21~09:30,1
2009-01-02 09:31~09:40,7
2009-01-02 09:41~09:50,7
2009-01-02 09:51~09:59,14
2009-01-02 10:00~10:10,17
2009-01-02 10:11~10:20,17
2009-01-02 10:21~10:30,10
2009-01-02 10:31~10:40,13
2009-01-02 10:41~10:50,17
2009-01-02 10:51~10:59,13
2009-01-02 11:00~11:10,16
2009-01-02 11:11~11:20,6
2009-01-02 11:21~11:30,10
2009-01-02 11:31~11:40,8
2009-01-02 11:41~11:50,21
2009-01-02 11:51~11:59,14
2009-01-02 12:00~12:10,9
2009-01-02 12:11~12:20,10
2009-01-02 12:21~12:30,11
2009-01-02 12:31~12:40,21
2009-01-02 12:41~12:50,16
2009-01-02 12:51~12:59,11
2009-01-02 13:00~13:10,18
2009-01-02 13:11~13:20,17
2009-01-02 13:21~13:30,14
2009-01-02 13:31~13:40,16
2009-01-02 13:41~13:50,13
2009-01-02 13:51~13:59,15
2009-01-02 14:00~14:10,19
2009-01-02 14:11~14:20,17
2009-01-02 14:21~14:30,21
2009-01-02 14:31~14:40,12
2009-01-02 14:41~14:50,11
2009-01-02 14:51~14:59,13
2009-01-02 15:00~15:10,12
2009-01-02 15:11~15:20,13
2009-01-02 15:21~15:30,8
2009-01-02 15:31~15:40,6
2009-01-02 15:41~15:50,11
2009-01-02 15:51~15:59,12
2009-01-02 16:00~16:10,9
2009-01-02 16:11~16:20,14
2009-01-02 16:21~16:30,7
2009-01-02 16:31~16:40,3
2009-01-02 16:41~16:50,2
2009-01-02 16:51~16:59,6
2009-01-02 17:00~17:10,2
2009-01-02 17:11~17:20,3
2009-01-02 17:21~17:30,2
2009-01-02 17:31~17:40,2
2009-01-02 17:41~17:50,1
2009-01-02 17:51~17:59,2
2009-01-02 18:00~18:10,4
2009-01-02 18:11~18:20,3
2009-01-02 18:21~18:30,2
2009-01-02 18:31~18:40,1
2009-01-02 18:41~18:50,2
2009-01-02 18:51~18:59,3
2009-01-02 19:00~19:10,4
2009-01-02 19:11~19:20,2
2009-01-02 19:21~19:30,2
2009-01-02 19:31~19:40,4
2009-01-02 19:41~19:50,2
2009-01-02 19:51~19:59,4
2009-01-02 20:00~20:10,4
2009-01-02 20:11~20:20,3
2009-01-02 20:21~20:30,5
2009-01-02 20:31~20:40,3
2009-01-02 20:41~20:50,2
2009-01-02 21:00~21:10,1
2009-01-02 21:11~21:20,3
2009-01-02 21:21~21:30,1
2009-01-02 21:31~21:40,1
2009-01-02 21:41~21:50,1
2009-01-02 21:51~21:59,1
2009-01-02 22:11~22:20,1
2009-01-02 22:21~22:30,1
2009-01-02 22:31~22:40,1
2009-01-02 22:41~22:50,1
2009-01-02 22:51~22:59,2
2009-01-02 23:00~23:10,1
2009-01-02 23:11~23:20,2
2009-01-02 23:31~23:40,2
2009-01-02 23:41~23:50,2
2009-01-03 00:21~00:30,2
2009-01-03 00:41~00:50,2
2009-01-03 00:51~00:59,1
2009-01-03 01:11~01:20,1
2009-01-03 01:31~01:40,1
2009-01-03 01:41~01:50,1
2009-01-03 02:00~02:10,1
2009-01-03 03:00~03:10,1
2009-01-03 03:11~03:20,1
2009-01-03 04:00~04:10,1
2009-01-03 07:41~07:50,1
2009-01-03 08:00~08:10,1
2009-01-03 08:21~08:30,1
2009-01-03 09:00~09:10,2
2009-01-03 09:11~09:20,6
2009-01-03 09:21~09:30,2
2009-01-03 09:31~09:40,7
2009-01-03 09:41~09:50,16
2009-01-03 09:51~09:59,11
2009-01-03 10:00~10:10,17
2009-01-03 10:11~10:20,15
2009-01-03 10:21~10:30,15
2009-01-03 10:31~10:40,13
2009-01-03 10:41~10:50,16
2009-01-03 10:51~10:59,12
2009-01-03 11:00~11:10,14
2009-01-03 11:11~11:20,14
2009-01-03 11:21~11:30,13
2009-01-03 11:31~11:40,17
2009-01-03 11:41~11:50,12
2009-01-03 11:51~11:59,12
2009-01-03 12:00~12:10,22
2009-01-03 12:11~12:20,17
2009-01-03 12:21~12:30,9
2009-01-03 12:31~12:40,18
2009-01-03 12:41~12:50,7
2009-01-03 12:51~12:59,7
2009-01-03 13:00~13:10,7
2009-01-03 13:11~13:20,13
2009-01-03 13:21~13:30,22
2009-01-03 13:31~13:40,13
2009-01-03 13:41~13:50,19
2009-01-03 13:51~13:59,13
2009-01-03 14:00~14:10,13
2009-01-03 14:11~14:20,7
2009-01-03 14:21~14:30,13
2009-01-03 14:31~14:40,12
2009-01-03 14:41~14:50,13
2009-01-03 14:51~14:59,11
2009-01-03 15:00~15:10,14
2009-01-03 15:11~15:20,12
2009-01-03 15:21~15:30,14
2009-01-03 15:31~15:40,7
2009-01-03 15:41~15:50,8
2009-01-03 15:51~15:59,5
2009-01-03 16:00~16:10,12
2009-01-03 16:11~16:20,1
2009-01-03 16:21~16:30,6
2009-01-03 16:31~16:40,8
2009-01-03 16:41~16:50,1
2009-01-03 16:51~16:59,4
2009-01-03 17:00~17:10,4
2009-01-03 17:11~17:20,5
2009-01-03 17:31~17:40,3
2009-01-03 17:41~17:50,2
2009-01-03 18:00~18:10,6
2009-01-03 18:11~18:20,4
2009-01-03 18:21~18:30,3
2009-01-03 18:31~18:40,2
2009-01-03 18:41~18:50,6
2009-01-03 18:51~18:59,2
2009-01-03 19:00~19:10,6
2009-01-03 19:11~19:20,1
2009-01-03 19:21~19:30,1
2009-01-03 19:31~19:40,5
2009-01-03 19:41~19:50,3
2009-01-03 19:51~19:59,3
2009-01-03 20:00~20:10,3
2009-01-03 20:11~20:20,1
2009-01-03 20:21~20:30,3
2009-01-03 20:31~20:40,4
2009-01-03 20:41~20:50,3
2009-01-03 20:51~20:59,2
2009-01-03 21:00~21:10,2
2009-01-03 21:11~21:20,1
2009-01-03 21:21~21:30,1
2009-01-03 21:31~21:40,2
2009-01-03 21:41~21:50,1
2009-01-03 21:51~21:59,1
2009-01-03 22:00~22:10,1
2009-01-03 22:11~22:20,1
2009-01-03 22:31~22:40,2
2009-01-03 22:51~22:59,1
2009-01-03 23:00~23:10,3
2009-01-03 23:21~23:30,2
2009-01-03 23:31~23:40,3
2009-01-03 23:51~23:59,1
2009-01-04 00:00~00:10,3
2009-01-04 00:11~00:20,1
2009-01-04 00:21~00:30,1
2009-01-04 00:41~00:50,1
2009-01-04 00:51~00:59,2
2009-01-04 01:00~01:10,1
2009-01-04 01:11~01:20,2
2009-01-04 01:21~01:30,1
2009-01-04 01:31~01:40,2
2009-01-04 02:00~02:10,1
2009-01-04 02:11~02:20,1
2009-01-04 02:31~02:40,1
2009-01-04 03:00~03:10,1
2009-01-04 05:41~05:50,1
2009-01-04 07:00~07:10,1
2009-01-04 07:51~07:59,2
2009-01-04 08:00~08:10,1
2009-01-04 08:11~08:20,1
2009-01-04 08:21~08:30,1
2009-01-04 08:31~08:40,1
2009-01-04 08:41~08:50,1
2009-01-04 09:11~09:20,1
2009-01-04 09:21~09:30,2
2009-01-04 09:31~09:40,7
2009-01-04 09:41~09:50,7
2009-01-04 09:51~09:59,15
2009-01-04 10:00~10:10,11
2009-01-04 10:11~10:20,19
2009-01-04 10:21~10:30,14
2009-01-04 10:31~10:40,8
2009-01-04 10:41~10:50,16
2009-01-04 10:51~10:59,5
2009-01-04 11:00~11:10,11
2009-01-04 11:11~11:20,13
2009-01-04 11:21~11:30,8
2009-01-04 11:31~11:40,13
2009-01-04 11:41~11:50,12
2009-01-04 11:51~11:59,10
2009-01-04 12:00~12:10,14
2009-01-04 12:11~12:20,8
2009-01-04 12:21~12:30,7
2009-01-04 12:31~12:40,11
2009-01-04 12:41~12:50,9
2009-01-04 12:51~12:59,10
2009-01-04 13:00~13:10,12
2009-01-04 13:11~13:20,11
2009-01-04 13:21~13:30,2
2009-01-04 13:31~13:40,7
2009-01-04 13:41~13:50,9
2009-01-04 13:51~13:59,8
2009-01-04 14:00~14:10,15
2009-01-04 14:11~14:20,11
2009-01-04 14:21~14:30,7
2009-01-04 14:31~14:40,6
2009-01-04 14:41~14:50,4
2009-01-04 14:51~14:59,7
2009-01-04 15:00~15:10,8
2009-01-04 15:11~15:20,8
2009-01-04 15:21~15:30,5
2009-01-04 15:31~15:40,6
2009-01-04 15:41~15:50,5
2009-01-04 16:00~16:10,9
2009-01-04 16:11~16:20,5
2009-01-04 16:21~16:30,3
2009-01-04 16:31~16:40,3
2009-01-04 16:41~16:50,7
2009-01-04 16:51~16:59,5
2009-01-04 17:00~17:10,3
2009-01-04 17:11~17:20,6
2009-01-04 17:21~17:30,3
2009-01-04 17:41~17:50,1
2009-01-04 17:51~17:59,3
2009-01-04 18:00~18:10,1
2009-01-04 18:11~18:20,2
2009-01-04 18:21~18:30,2
2009-01-04 18:31~18:40,1
2009-01-04 18:41~18:50,2
2009-01-04 18:51~18:59,2
2009-01-04 19:00~19:10,2
2009-01-04 19:11~19:20,2
2009-01-04 19:21~19:30,1
