tag,count
00:00~00:10,36
00:11~00:20,26
00:21~00:30,26
00:31~00:40,20
00:41~00:50,16
00:51~00:59,15
01:00~01:10,13
01:11~01:20,17
01:21~01:30,14
01:31~01:40,17
01:41~01:50,10
01:51~01:59,13
02:00~02:10,12
02:11~02:20,5
02:21~02:30,4
02:31~02:40,4
02:41~02:50,6
02:51~02:59,7
03:00~03:10,10
03:11~03:20,5
03:21~03:30,4
03:31~03:40,4
03:41~03:50,4
03:51~03:59,2
04:00~04:10,5
04:11~04:20,2
04:21~04:30,5
04:31~04:40,4
04:41~04:50,1
04:51~04:59,3
05:00~05:10,3
05:11~05:20,1
05:21~05:30,1
05:31~05:40,3
05:41~05:50,3
05:51~05:59,4
06:00~06:10,4
06:11~06:20,3
06:21~06:30,3
06:31~06:40,8
06:41~06:50,8
06:51~06:59,4
07:00~07:10,12
07:11~07:20,9
07:21~07:30,13
07:31~07:40,8
07:41~07:50,23
07:51~07:59,18
08:00~08:10,33
08:11~08:20,19
08:21~08:30,26
08:31~08:40,25
08:41~08:50,33
08:51~08:59,36
09:00~09:10,52
09:11~09:20,63
09:21~09:30,60
09:31~09:40,97
09:41~09:50,139
09:51~09:59,158
10:00~10:10,233
10:11~10:20,205
10:21~10:30,203
10:31~10:40,192
10:41~10:50,236
10:51~10:59,201
11:00~11:10,231
11:11~11:20,201
11:21~11:30,210
11:31~11:40,206
11:41~11:50,209
11:51~11:59,221
12:00~12:10,236
12:11~12:20,202
12:21~12:30,208
12:31~12:40,239
12:41~12:50,213
12:51~12:59,198
13:00~13:10,235
13:11~13:20,228
13:21~13:30,210
13:31~13:40,196
13:41~13:50,202
13:51~13:59,174
14:00~14:10,200
14:11~14:20,178
14:21~14:30,197
14:31~14:40,177
14:41~14:50,188
14:51~14:59,177
15:00~15:10,201
15:11~15:20,192
15:21~15:30,188
15:31~15:40,159
15:41~15:50,161
15:51~15:59,148
16:00~16:10,169
16:11~16:20,120
16:21~16:30,139
16:31~16:40,124
16:41~16:50,81
16:51~16:59,78
17:00~17:10,80
17:11~17:20,82
17:21~17:30,75
17:31~17:40,73
17:41~17:50,79
17:51~17:59,78
18:00~18:10,104
18:11~18:20,81
18:21~18:30,97
18:31~18:40,76
18:41~18:50,124
18:51~18:59,98
19:00~19:10,114
19:11~19:20,104
19:21~19:30,129
19:31~19:40,119
19:41~19:50,87
19:51~19:59,116
20:00~20:10,119
20:11~20:20,85
20:21~20:30,79
20:31~20:40,79
20:41~20:50,75
20:51~20:59,54
21:00~21:10,75
21:11~21:20,51
21:21~21:30,73
21:31~21:40,63
21:41~21:50,65
21:51~21:59,58
22:00~22:10,58
22:11~22:20,68
22:21~22:30,55
22:31~22:40,49
22:41~22:50,48
22:51~22:59,54
23:00~23:10,52
23:11~23:20,51
23:21~23:30,39
23:31~23:40,45
23:41~23:50,24
23:51~23:59,30
