tag,count
00:00~00:10,419
00:11~00:20,339
00:21~00:30,288
00:31~00:40,283
00:41~00:50,245
00:51~00:59,222
01:00~01:10,249
01:11~01:20,215
01:21~01:30,176
01:31~01:40,194
01:41~01:50,149
01:51~01:59,123
02:00~02:10,137
02:11~02:20,125
02:21~02:30,112
02:31~02:40,103
02:41~02:50,94
02:51~02:59,86
03:00~03:10,111
03:11~03:20,83
03:21~03:30,83
03:31~03:40,70
03:41~03:50,62
03:51~03:59,60
04:00~04:10,66
04:11~04:20,60
04:21~04:30,54
04:31~04:40,37
04:41~04:50,38
04:51~04:59,35
05:00~05:10,31
05:11~05:20,36
05:21~05:30,31
05:31~05:40,25
05:41~05:50,35
05:51~05:59,29
06:00~06:10,48
06:11~06:20,33
06:21~06:30,34
06:31~06:40,56
06:41~06:50,90
06:51~06:59,153
07:00~07:10,178
07:11~07:20,157
07:21~07:30,154
07:31~07:40,172
07:41~07:50,251
07:51~07:59,298
08:00~08:10,386
08:11~08:20,313
08:21~08:30,383
08:31~08:40,400
08:41~08:50,507
08:51~08:59,569
09:00~09:10,817
09:11~09:20,829
09:21~09:30,970
09:31~09:40,1305
09:41~09:50,1872
09:51~09:59,2425
10:00~10:10,3303
10:11~10:20,3071
10:21~10:30,3169
10:31~10:40,3116
10:41~10:50,3149
10:51~10:59,3021
11:00~11:10,3602
11:11~11:20,3122
11:21~11:30,3091
11:31~11:40,3011
11:41~11:50,2944
11:51~11:59,2645
12:00~12:10,3118
12:11~12:20,2806
12:21~12:30,2759
12:31~12:40,2720
12:41~12:50,2608
12:51~12:59,2315
13:00~13:10,2915
13:11~13:20,2524
13:21~13:30,2430
13:31~13:40,2465
13:41~13:50,2395
13:51~13:59,2202
14:00~14:10,2582
14:11~14:20,2436
14:21~14:30,2315
14:31~14:40,2283
14:41~14:50,2214
14:51~14:59,2090
15:00~15:10,2511
15:11~15:20,2239
15:21~15:30,2159
15:31~15:40,2040
15:41~15:50,1908
15:51~15:59,1707
16:00~16:10,1860
16:11~16:20,1453
16:21~16:30,1324
16:31~16:40,1136
16:41~16:50,1056
16:51~16:59,885
17:00~17:10,969
17:11~17:20,900
17:21~17:30,987
17:31~17:40,991
17:41~17:50,1012
17:51~17:59,954
18:00~18:10,1322
18:11~18:20,1270
18:21~18:30,1356
18:31~18:40,1311
18:41~18:50,1387
18:51~18:59,1259
19:00~19:10,1564
19:11~19:20,1300
19:21~19:30,1465
19:31~19:40,1298
19:41~19:50,1123
19:51~19:59,1133
20:00~20:10,1258
20:11~20:20,1052
20:21~20:30,994
20:31~20:40,906
20:41~20:50,888
20:51~20:59,708
21:00~21:10,928
21:11~21:20,748
21:21~21:30,743
21:31~21:40,752
21:41~21:50,744
21:51~21:59,680
22:00~22:10,770
22:11~22:20,745
22:21~22:30,677
22:31~22:40,743
22:41~22:50,635
22:51~22:59,540
23:00~23:10,660
23:11~23:20,536
23:21~23:30,544
23:31~23:40,438
23:41~23:50,402
23:51~23:59,353
